"INSTNM","CITY","STABBR","NUMBRANCH","LATITUDE","LONGITUDE","ADM_RATE","PCIP40","PCIP41","PCIP44","PCIP45","UGDS","PPTUG_EF","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","C150_4","PCTFLOAN","UG25ABV","GRADS","STUFACR","CONTROL_PEPS"
"Alabama A & M University","Normal","AL",1,34.783368,-86.568502,0.6622,0.0137,0,0.045,0.0196,5726,0.0885,23751,10024,18634,10011,6298,8610,0.7146,0.2874,0.5859,0.0707,769,19,"Public"
"University of Alabama at Birmingham","Birmingham","AL",1,33.505697,-86.799345,0.8842,0.0231,0,0.0129,0.0291,12118,0.1909,27826,8832,21864,12052,17179,12211,0.7584,0.626,0.4097,0.1656,8778,18,"Public"
"University of Alabama in Huntsville","Huntsville","AL",1,34.724557,-86.640449,0.7425,0.0514,0,0,0.0184,6650,0.1516,27098,11770,24662,9871,9461,10411,0.6308,0.6191,0.3391,0.1511,1892,17,"Public"
"Alabama State University","Montgomery","AL",1,32.364317,-86.295677,0.9564,0.0126,0,0.0589,0.0168,3322,0.1093,22028,11248,19576,9865,11082,8015,0.6637,0.3018,0.7776,0.0692,548,16,"Public"
"The University of Alabama","Tuscaloosa","AL",1,33.211875,-87.545978,0.7582,0.0106,0,0.0109,0.0799,32323,0.0732,32024,11900,33200,13885,9380,11090,0.7836,0.7369,0.3358,0.0601,6187,19,"Public"
"Auburn University at Montgomery","Montgomery","AL",1,32.36736,-86.177544,0.9263,0.0099,0,0.0212,0.024,2693,0.1972,21873,9436,20092,8907,7006,8823,0.6955,0.3568,0.456,0.2049,1782,15,"Public"
"Auburn University","Auburn","AL",1,32.599378,-85.488258,0.5047,0.0083,0,0.0046,0.0253,25732,0.0636,34402,12536,33944,16999,10041,11907,0.8587,0.7921,0.2701,0.0314,6141,21,"Public"
"Birmingham-Southern College","Birmingham","AL",1,33.513774,-86.850552,0.5194,0.0216,0,0,0.0504,713,0.0098,38385,22750,22750,9946,10898,6586,0.7455,0.6418,0.6738,0.0098,18,9,"Private Nonprofit"
"Faulkner University","Montgomery","AL",1,32.384181,-86.21641,0.6613,0,0,0,0.0022,1555,0.2109,36910,23920,23920,13890,8310,6574,0.5943,0.3766,0.5787,0.4094,1140,13,"Private Nonprofit"
"Herzing University-Birmingham","Birmingham","AL",11,33.468466,-86.832465,0.9449,0,0,0,0,445,0.6202,27195,13420,13420,13184,5079,6744,0.5185,0.25,0.7228,0.796,2,14,"Private Nonprofit"
"Huntingdon College","Montgomery","AL",1,32.351034,-86.284366,0.7083,0.0058,0,0,0.0116,865,0.0185,39686,28650,28650,14072,7839,7723,0.8429,0.4694,0.7081,0.0069,3,14,"Private Nonprofit"
"Jacksonville State University","Jacksonville","AL",1,33.822938,-85.765321,0.7622,0.0064,0,0.0341,0.0199,7030,0.1,23422,12426,22716,6983,6797,7774,0.6534,0.5112,0.6941,0.1069,1294,19,"Public"
"University of West Alabama","Livingston","AL",1,32.588132,-88.186329,0.8711,0,0,0,0.0075,2666,0.2052,22402,10990,20090,7985,7978,7627,0.3401,0.3804,0.6373,0.4355,3521,17,"Public"
"University of Mobile","Mobile","AL",1,30.793247,-88.128934,0.7251,0,0,0,0.0352,1079,0.013,38731,26120,26120,10256,8372,5790,1,0.5551,0.4287,0.0829,223,13,"Private Nonprofit"
"University of Montevallo","Montevallo","AL",1,33.10625,-86.865099,0.539,0.0091,0,0.0318,0.0523,2087,0.0728,26233,13710,26730,7664,12968,8549,0.6971,0.4938,0.5207,0.0601,397,13,"Public"
"University of North Alabama","Florence","AL",1,34.80731,-87.680407,0.9648,0.0033,0,0.0343,0.0564,5468,0.1472,22086,11990,22190,7929,7641,9049,0.5604,0.5403,0.2957,0.1121,2608,18,"Public"
"Oakwood University","Huntsville","AL",1,34.756344,-86.652705,0.5051,0,0,0.0419,0.0262,1253,0.0455,38592,21838,21838,11875,8660,5758,0.6047,0.4891,0.5754,0.0829,40,10,"Private Nonprofit"
"Samford University","Birmingham","AL",1,33.464128,-86.791799,0.8223,0.0024,0,0.0048,0.0322,3828,0.0133,53934,38144,38144,20011,16196,9810,0.99,0.7988,0.287,0.012,1959,14,"Private Nonprofit"
"University of South Alabama","Mobile","AL",1,30.696033,-88.178711,0.6549,0.0085,0.0021,0.0122,0.0222,8540,0.1233,22070,9676,18652,9462,10579,7764,0.6575,0.5257,0.4872,0.1244,4854,18,"Public"
"Spring Hill College","Mobile","AL",1,30.694751,-88.138199,0.591,0,0,0,0.0685,850,0.0318,37172,23270,23270,11783,8919,5642,0.6452,0.5612,0.5123,0.0423,126,10,"Private Nonprofit"
"Talladega College","Talladega","AL",1,33.433472,-86.112704,0.9925,0.0139,0,0.0417,0.0694,782,0.0588,23441,15650,15650,13008,2342,5951,0.4659,0.6497,0.7778,0.2442,55,19,"Private Nonprofit"
"Troy University","Troy","AL",4,31.799583,-85.95802,0.9261,0,0,0.0871,0.047,10089,0.3085,21816,9792,19584,9503,8185,7491,0.5016,0.4684,0.6617,0.3375,3455,15,"Public"
"Tuskegee University","Tuskegee","AL",1,32.4309,-85.708492,0.3143,0.0146,0,0.0146,0.0317,2367,0.038,41924,23440,23440,12467,15926,7309,0.8604,0.5709,0.6167,0.0288,446,12,"Private Nonprofit"
"University of Alaska Anchorage","Anchorage","AK",1,61.190163,-149.82619,0.6652,0.0111,0.016,0.0215,0.0215,6916,0.4669,21848,7566,21693,7723,16250,9957,0.5389,0.2894,0.1488,0.4151,634,12,"Public"
"University of Alaska Southeast","Juneau","AK",1,58.384846,-134.638255,0.625,0,0,0,0.0371,920,0.5348,16796,6960,21096,8748,18705,9091,0.4972,0.3097,0.1404,0.4768,240,9,"Public"
"Alaska Pacific University","Anchorage","AK",1,61.190968,-149.804168,0.8621,0,0,0,0,400,0.25,34964,20760,20760,12345,14628,7297,0.4775,0.4688,0.4186,0.5446,141,8,"Private Nonprofit"
"Arizona State University Campus Immersion","Tempe","AZ",16,33.417721,-111.934383,0.9019,0.0109,0.0026,0.0193,0.0517,64398,0.0753,28047,12051,32193,20067,14362,12336,0.7282,0.6785,0.284,0.0768,14419,18,"Public"
"University of Arizona","Tucson","AZ",1,32.232672,-110.950815,0.8566,0.0218,0.0053,0.0051,0.0516,40769,0.163,28543,13626,41095,15493,15353,12224,0.7627,0.6589,0.2695,0.1416,11102,19,"Public"
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ",2,34.616766,-112.449741,0.7519,0.031,0,0,0.1501,3245,0.0493,60158,42204,42204,31240,14495,9669,0.752,0.6976,0.3439,0.0677,36,17,"Private Nonprofit"
"Grand Canyon University","Phoenix","AZ",1,33.513231,-112.129929,0.6036,1e-04,0,0.1262,0.0099,68619,0.6357,31493,17450,17450,11541,2367,7479,0.0925,0.4304,0.535,0.5181,36634,21,"Proprietary"
"Northern Arizona University","Flagstaff","AZ",1,35.188449,-111.653724,0.9095,0.0167,0.0074,0.0246,0.0663,23041,0.128,29495,12652,28900,7003,7733,9585,0.7066,0.5686,0.331,0.1273,5058,19,"Public"
"Prescott College","Prescott","AZ",1,34.5452,-112.477185,0.9857,0,0,0,0.1176,253,0.2016,47228,35685,35685,14317,6073,5813,0.3534,0.3594,0.5367,0.3113,652,9,"Private Nonprofit"
"Arizona Christian University","Glendale","AZ",1,33.622952,-112.181776,0.7442,0,0,0,0.0683,1127,0.063,50950,34697,34697,14018,4139,5432,0.3736,0.4145,0.6959,0.0835,23,18,"Private Nonprofit"
"University of Arkansas at Little Rock","Little Rock","AR",1,34.723254,-92.339778,0.5774,0.007,0,0.0441,0.0252,4740,0.3895,21013,8455,19210,4431,9119,7892,1,0.4142,0.3765,0.341,2369,11,"Public"
"University of Arkansas","Fayetteville","AR",1,36.070009,-94.176981,0.7167,0.0185,0,0.0109,0.044,27312,0.0916,26161,9748,28772,10000,10999,10492,0.8243,0.6997,0.3405,0.0675,4668,20,"Public"
"University of Arkansas at Pine Bluff","Pine Bluff","AR",1,34.244031,-92.018683,0.5754,0.0225,0,0.0507,0.0366,1899,0.119,20907,9019,17029,5066,12988,6100,0.831,0.3968,0.5852,0.0955,195,13,"Public"
"Arkansas State University","Jonesboro","AR",1,35.842388,-90.679988,0.6967,0.0044,0,0.0103,0.0425,7994,0.3396,22823,7754,13826,4220,5974,7601,1,0.551,0.4234,0.2025,5272,15,"Public"
"Arkansas Tech University","Russellville","AR",1,35.293237,-93.13562,0.9629,0.0042,0,8e-04,0.0076,5993,0.1804,21536,8508,14502,4400,6777,6868,1,0.4866,0.2807,0.1322,679,18,"Public"
"University of Central Arkansas","Conway","AR",1,35.077945,-92.457672,0.9047,0.0105,0,0.0025,0.0492,7426,0.1282,24265,10118,17258,6527,8773,7396,0.766,0.5335,0.4169,0.0809,1906,14,"Public"
"Harding University","Searcy","AR",2,35.247386,-91.726143,1,0.0028,0,0.0383,0.0099,3323,0.0569,36385,24888,24888,13836,11289,7813,0.7064,0.7094,0.3951,0.0526,1112,16,"Private Nonprofit"
"Henderson State University","Arkadelphia","AR",1,34.128155,-93.059703,0.8192,0.0056,0,0.0169,0.0169,1491,0.1147,25946,7885,9882,3462,7540,6756,0.9875,0.3805,0.4466,0.1125,643,17,"Public"
"Hendrix College","Conway","AR",1,35.101565,-92.443256,0.5298,0.0616,0,0,0.1611,1094,0.0046,52396,36650,36650,9706,12366,8264,1,0.6923,0.4479,0.0055,9,11,"Private Nonprofit"
"John Brown University","Siloam Springs","AR",1,36.189812,-94.560283,0.6764,0.0059,0,0,0.0148,1415,0.0636,43260,30832,30832,10613,10223,7473,0.9558,0.6677,0.3615,0.0723,459,16,"Private Nonprofit"
"Ouachita Baptist University","Arkadelphia","AR",1,34.126093,-93.052471,0.6852,0.0029,0,0,0.0319,1612,0.0167,45132,32480,32480,11210,9962,6973,0.9504,0.703,0.485,0.0167,81,12,"Private Nonprofit"
"Williams Baptist University","Walnut Ridge","AR",1,36.125676,-90.940277,0.5888,0,0,0,0,490,0.0122,32222,20330,20330,5566,3828,5488,1,0.3592,0.4733,0.0305,23,12,"Private Nonprofit"
"Southern Arkansas University Main Campus","Magnolia","AR",1,33.291618,-93.235922,0.6659,0.0306,0,0.0102,0.0028,2865,0.0569,24721,9820,15400,8554,6759,7371,0.59,0.465,0.6668,0.0769,1903,16,"Public"
"University of Arkansas-Fort Smith","Fort Smith","AR",1,35.384184,-94.373729,0.8147,0.0135,0,0.0156,0.0021,4133,0.2173,18052,6906,13770,2991,9096,7228,0.6171,0.3696,0.2817,0.156,43,20,"Public"
"Art Center College of Design","Pasadena","CA",1,34.169031,-118.185102,0.7498,0,0,0,0,2054,0.1144,71652,51640,51640,41439,26122,8726,0.2389,0.8261,0.3564,0.1563,303,8,"Private Nonprofit"
"Azusa Pacific University","Azusa","CA",1,34.130047,-117.888375,0.7948,0.004,0,0.0183,0.0199,2977,0.1176,54735,43600,43600,19443,11098,10096,0.349,0.6442,0.4648,0.2378,3510,10,"Private Nonprofit"
"Biola University","La Mirada","CA",1,33.906203,-118.014374,0.6008,0.0037,0,0,0.0294,3390,0.0779,58430,46704,46704,20383,12843,8314,1,0.6881,0.4467,0.0769,1901,14,"Private Nonprofit"
"California Baptist University","Riverside","CA",1,33.929321,-117.425619,0.7357,0.0048,0,0.0181,0.0266,7914,0.094,52408,39720,39720,19765,9514,10668,0.4943,0.5953,0.6258,0.1826,3297,20,"Private Nonprofit"
"California College of the Arts","San Francisco","CA",1,37.767485,-122.399451,0.734,0,0,0,0,1004,0.0697,78664,57946,57946,34731,22934,9086,0.2292,0.5872,0.4564,0.1018,321,7,"Private Nonprofit"
"California Institute of Technology","Pasadena","CA",1,34.137349,-118.125878,0.0314,0.1631,0,0,0,1023,0,83598,63255,63255,21271,119648,22762,0.9304,0.9316,0.0356,0.0029,1440,3,"Private Nonprofit"
"California Lutheran University","Thousand Oaks","CA",1,34.224566,-118.878924,0.8888,0.016,0,0,0.1133,2374,0.0181,63768,50670,50670,19832,11410,10463,1,0.7402,0.7776,0.0744,1033,13,"Private Nonprofit"
"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",1,35.299513,-120.657311,0.2975,0.0198,0,0,0.0501,21521,0.0432,29918,11075,30995,11393,11005,11452,0.6907,0.8519,0.2349,0.0227,926,18,"Public"
"California State University-Bakersfield","Bakersfield","CA",1,35.350005,-119.104711,0.8819,0.0087,0,0.0014,0.0804,8183,0.1704,18815,7696,19576,4299,8771,10274,0.5383,0.4931,0.2512,0.2421,1451,16,"Public"
"California State University-Stanislaus","Turlock","CA",1,37.52577,-120.852511,0.9747,0.0112,0,0,0.1034,8564,0.1935,18542,7826,19706,4488,10258,10561,0.5287,0.58,0.2266,0.2391,1172,16,"Public"
"California State University-San Bernardino","San Bernardino","CA",1,34.182622,-117.323801,0.9825,0.0177,0,0.0126,0.1022,15771,0.1798,16910,7675,19555,3739,9008,10810,0.4573,0.5465,0.2337,0.2411,2858,19,"Public"
"California State Polytechnic University-Pomona","Pomona","CA",1,34.057912,-117.821476,0.737,0.0218,0,0,0.0859,24271,0.1353,22672,7439,19319,4942,7947,11656,0.4669,0.6674,0.2526,0.1632,2393,23,"Public"
"California State University-Chico","Chico","CA",1,39.729712,-121.844859,0.9372,0.0054,0,0.0195,0.1022,13057,0.0957,25590,8064,19944,5406,8993,10386,0.5733,0.6363,0.3306,0.1682,1363,20,"Public"
"California State University-Dominguez Hills","Carson","CA",1,33.864766,-118.255917,0.9132,0.0058,0,0.0427,0.0809,12642,0.2463,15449,7064,18944,3992,8248,10743,0.4635,0.4685,0.1956,0.3053,2451,18,"Public"
"California State University-Fresno","Fresno","CA",1,36.811154,-119.744569,0.9638,0.0102,0,0.0138,0.1191,21070,0.1573,18650,6980,18860,4004,8429,10275,0.5416,0.5482,0.1978,0.1551,2556,18,"Public"
"California State University-Fullerton","Fullerton","CA",1,33.881506,-117.885446,0.8674,0.0062,0,0.0312,0.0655,36956,0.1972,16767,7073,18953,5386,7629,11109,0.4951,0.6922,0.2206,0.1641,4837,22,"Public"
"California State University-East Bay","Hayward","CA",1,37.657694,-122.054135,0.9681,0.0067,0,0,0.0822,10422,0.2361,22803,7055,18935,6006,8096,11430,0.4487,0.4551,0.2857,0.3781,2771,17,"Public"
"California State University-Long Beach","Long Beach","CA",1,33.782818,-118.11204,0.4712,0.0098,0,0.008,0.0778,34131,0.1534,20310,7008,18888,4862,9081,11149,0.4567,0.6986,0.2414,0.1613,6035,19,"Public"
"California State University-Los Angeles","Los Angeles","CA",1,34.066927,-118.168965,0.9193,0.0059,0,0.0499,0.0997,21478,0.1727,17153,6813,18698,3407,7683,11197,0.4162,0.5257,0.204,0.2348,3553,19,"Public"
"California State University-Northridge","Northridge","CA",1,34.240126,-118.529319,0.9315,0.0068,0,0.0028,0.0921,32357,0.1769,20317,7095,18975,4392,7702,11094,0.4456,0.5618,0.2263,0.2002,5331,21,"Public"
"California State University-Sacramento","Sacramento","CA",1,38.559415,-121.423549,0.9362,0.0053,0,0.0243,0.0961,27867,0.1973,22714,7602,19482,5896,8419,10624,0.4705,0.5582,0.2485,0.2087,2904,21,"Public"
"University of California-Berkeley","Berkeley","CA",1,37.871918,-122.260463,0.1166,0.0331,0,0.0079,0.1829,33073,0.0463,42708,14850,45627,22710,21970,20183,0.7029,0.9289,0.1823,0.0505,12621,18,"Public"
"University of California-Davis","Davis","CA",1,38.539667,-121.749567,0.4163,0.0209,0,0.0052,0.1382,31777,0.0273,38067,15247,46024,19687,30954,17719,0.8651,0.8507,0.2322,0.0386,7910,21,"Public"
"University of California-Irvine","Irvine","CA",1,33.648434,-117.841248,0.2557,0.0261,0,0,0.1575,29494,0.021,36121,14237,45014,16847,28307,18213,0.8416,0.8595,0.2181,0.0321,7079,18,"Public"
"University of California-Los Angeles","Los Angeles","CA",1,34.07178,-118.442179,0.0873,0.0223,0,0.0121,0.2426,33040,0.0172,36643,13747,44524,20454,68050,21778,0.7434,0.9266,0.2069,0.0324,13638,18,"Public"
"University of California-Riverside","Riverside","CA",1,33.97246,-117.32741,0.633,0.0184,0,0.0158,0.181,22644,0.0294,34975,14170,44947,13255,16077,16295,0.8903,0.7656,0.3281,0.0512,3780,23,"Public"
"University of California-San Diego","La Jolla","CA",1,32.877749,-117.235866,0.2452,0.0375,0,0,0.1103,33787,0.0277,36325,15265,46042,19198,25949,18460,0.8795,0.8763,0.2412,0.0418,8584,19,"Public"
"University of California-Santa Barbara","Santa Barbara","CA",1,34.416297,-119.846426,0.2778,0.0523,0,0,0.2679,23205,0.0235,36776,14965,45742,19182,15420,19799,0.8968,0.8533,0.2021,0.0224,2836,17,"Public"
"University of California-Santa Cruz","Santa Cruz","CA",1,36.995584,-122.058801,0.6254,0.052,0,0.0064,0.116,17812,0.0328,38649,14560,45337,13333,12450,16951,0.8415,0.7445,0.2943,0.0356,1952,22,"Public"
"California Institute of the Arts","Valencia","CA",1,34.39327,-118.566837,0.2595,0,0,0,0,881,0.0102,78425,56724,56724,35943,31777,10050,0.4675,0.6415,0.3404,0.1068,435,7,"Private Nonprofit"
"California State University Maritime Academy","Vallejo","CA",1,38.069061,-122.231551,0.9873,0.0066,0,0,0,761,0.046,27138,7672,19552,8247,25645,11356,0.7625,0.6682,0.4332,0.0999,44,10,"Public"
"Chapman University","Orange","CA",1,33.79302,-117.852518,0.5561,0.0072,0,0.002,0.0456,7629,0.0401,81327,62784,62784,36301,20788,13180,0.9983,0.8036,0.62,0.0222,2087,12,"Private Nonprofit"
"Charles R Drew University of Medicine and Science","Los Angeles","CA",1,33.925658,-118.242791,0.3878,0,0,0,0,233,0.2575,33973,18933,18933,20749,20559,9490,0.2366,0.5,0.687,0.5513,529,4,"Private Nonprofit"
"Concordia University-Irvine","Irvine","CA",1,33.653665,-117.812305,0.5986,0.0064,0,0,0.0021,1456,0.0295,56500,41390,41390,16484,8839,7778,1,0.625,0.5091,0.0887,2016,13,"Private Nonprofit"
"San Diego Christian College","Santee","CA",1,32.843454,-116.978089,0.6281,0,0,0,0,91,0.2747,40057,26300,26300,14448,5296,8527,0.1818,0.2353,0.1639,0.3441,9,10,"Private Nonprofit"
"Claremont McKenna College","Claremont","CA",1,34.102154,-117.711188,0.1112,0.0184,0,0.0215,0.4172,1379,0.0029,82127,64150,64150,37494,42735,16211,0.9118,0.9517,0.1941,0.0043,3,8,"Private Nonprofit"
"University of Silicon Valley","San Jose","CA",1,37.414049,-121.94087,0.5131,0,0,0,0,377,0.2334,36361,22480,22480,35609,8018,8319,0.1385,0.3492,0.7177,0.2646,14,13,"Proprietary"
"Dominican University of California","San Rafael","CA",1,37.981279,-122.512051,0.9562,0.0157,0,0,0.0157,1178,0.1027,68620,50666,50666,18889,13027,9432,0.3267,0.7627,0.5477,0.1168,844,8,"Private Nonprofit"
"FIDM-Fashion Institute of Design & Merchandising","Los Angeles","CA",1,34.044209,-118.25993,0.415,0,0,0,0,1319,0.2813,53393,34325,34325,26416,5656,4493,0.0433,0.6715,0.4705,0.1759,47,13,"Proprietary"
"Fresno Pacific University","Fresno","CA",1,36.726831,-119.735199,0.5752,0,0,0.1796,0.0531,1614,0.4064,42673,35558,35558,15149,7304,8134,1,0.5594,0.4725,0.409,1305,8,"Private Nonprofit"
"California State Polytechnic University-Humboldt","Arcata","CA",1,40.877481,-124.078293,0.9883,0.0301,0,0.0485,0.0801,5491,0.1098,24412,7913,19793,5688,12911,10596,0.5283,0.4663,0.3708,0.2269,562,14,"Public"
"Life Pacific University","San Dimas","CA",2,34.098705,-117.829388,0.9395,0,0,0,0,393,0.1399,33193,20462,20462,12681,7158,6177,0.2833,0.5682,0.6171,0.2727,108,11,"Private Nonprofit"
"University of La Verne","La Verne","CA",1,34.100855,-117.773262,0.4848,0.0108,0,0.0203,0.1004,3341,0.1347,61564,47000,47000,15730,8186,10820,0.2809,0.6545,0.5733,0.239,2244,11,"Private Nonprofit"
"Laguna College of Art and Design","Laguna Beach","CA",1,33.561448,-117.772564,0.7761,0,0,0,0,776,0.1134,56183,35650,35650,25371,10940,7673,0.1148,0.6304,0.465,0.183,31,9,"Private Nonprofit"
"La Sierra University","Riverside","CA",1,33.910704,-117.500054,0.933,0.0032,0,0.0385,0.0128,1155,0.0528,49365,35910,35910,31569,13181,8180,0.4573,0.6806,0.6128,0.0651,367,11,"Private Nonprofit"
"The Master's University and Seminary","Santa Clarita","CA",1,34.381755,-118.518193,0.7589,0.0123,0,0,0.0329,1606,0.2547,48682,36930,36930,13616,8439,7859,0.2657,0.6375,0.3841,0.2184,885,14,"Private Nonprofit"
"Loyola Marymount University","Los Angeles","CA",1,33.97085,-118.415744,0.4029,0.0031,0,0,0.1276,7171,0.019,75867,58974,58974,39730,17715,13292,0.5684,0.7978,0.3037,0.0159,2920,11,"Private Nonprofit"
"Menlo College","Atherton","CA",1,37.453475,-122.190797,0.6781,0,0,0,0,811,0.0271,69879,51070,51070,18442,9128,10112,0.1782,0.5133,0.385,0.0529,9,12,"Private Nonprofit"
"Mount Saint Mary's University","Los Angeles","CA",2,34.085315,-118.482879,0.6872,0,0,0.0557,0.1024,1746,0.0767,64637,48132,48132,20577,13147,9244,0.2811,0.5342,0.6906,0.1404,541,11,"Private Nonprofit"
"Musicians Institute","Hollywood","CA",1,34.101265,-118.337582,0.7129,0,0,0,0,735,0.249,41795,28400,28400,24827,6728,3155,0.2908,0.4596,0.2224,0.4051,32,6,"Proprietary"
"Newschool of Architecture and Design","San Diego","CA",1,32.71331,-117.153305,1,0,0,0,0,212,0.1604,57642,30291,30291,25036,7195,7069,0.1271,0.5094,0.6245,0.4695,67,6,"Proprietary"
"Otis College of Art and Design","Los Angeles","CA",1,33.956607,-118.416615,0.8398,0,0,0,0,1242,0.0217,71880,55513,55513,34899,20084,9145,0.1545,0.6059,0.418,0.1046,41,8,"Private Nonprofit"
"Hope International University","Fullerton","CA",1,33.87616,-117.88573,0.3539,0,0,0,0.0566,549,0.153,51153,36250,36250,13296,5301,7186,0.2836,0.4565,0.6034,0.153,591,13,"Private Nonprofit"
"Pacific Union College","Angwin","CA",1,38.570585,-122.440308,0.4248,0,0,0.0268,0.0089,910,0.2121,47244,35214,35214,16418,19200,6485,0.95,0.5147,0.5932,0.2835,28,11,"Private Nonprofit"
"University of the Pacific","Stockton","CA",1,37.981424,-121.312301,0.9486,0.0126,0,0,0.0356,3247,0.0246,68173,55340,55340,32689,22844,11592,0.4983,0.6782,0.4274,0.0567,3458,14,"Private Nonprofit"
"Pepperdine University","Malibu","CA",1,34.037786,-118.707077,0.4985,0.0127,0,0,0.0888,3629,0.0515,85202,66742,66742,32992,12364,13919,0.4626,0.8467,0.3842,0.0306,5916,13,"Private Nonprofit"
"Point Loma Nazarene University","San Diego","CA",1,32.718391,-117.250265,0.8176,0.0061,0,0.0086,0.0343,3132,0.1232,56664,43550,43550,24478,10688,11281,1,0.7379,0.4981,0.1387,1336,13,"Private Nonprofit"
"University of Redlands","Redlands","CA",1,34.064218,-117.163218,0.8092,0.0151,0,0.0113,0.0652,2095,0.0993,70233,57614,57614,19541,15259,10670,0.9742,0.7068,0.5664,0.0938,1092,11,"Private Nonprofit"
"San Diego State University","San Diego","CA",2,32.77525,-117.071228,0.3444,0.015,0,0.0207,0.0819,33654,0.1071,27357,8290,20170,8251,8755,11862,0.4922,0.7827,0.2314,0.1179,5191,22,"Public"
"University of San Diego","San Diego","CA",1,32.770816,-117.192073,0.4675,0.0178,0,0,0.1117,5619,0.0148,74879,56444,56444,29061,18791,13153,0.5274,0.8158,0.3272,0.0393,3384,14,"Private Nonprofit"
"San Francisco Conservatory of Music","San Francisco","CA",1,37.775543,-122.420292,0.5194,0,0,0,0,215,0,78209,54550,54550,27218,42014,15040,1,0.5246,0.4751,0.0558,188,3,"Private Nonprofit"
"San Francisco State University","San Francisco","CA",1,37.721224,-122.476799,0.9615,0.0078,0,0.0045,0.0707,20033,0.1773,25258,7424,19304,5239,9508,11816,0.4966,0.5015,0.2543,0.1845,3152,16,"Public"
"University of San Francisco","San Francisco","CA",1,37.776618,-122.450477,0.5077,0.0139,0,8e-04,0.1004,5697,0.0321,76421,58222,58222,30590,19807,14029,0.4033,0.7113,0.4727,0.0606,3483,12,"Private Nonprofit"
"William Jessup University","Rocklin","CA",1,38.819728,-121.292312,0.7682,0,0,0,0.0199,1021,0.1146,52172,37150,37150,14550,7893,7973,0.301,0.6071,0.4731,0.179,428,9,"Private Nonprofit"
"San Jose State University","San Jose","CA",1,37.336569,-121.880621,0.8023,0.013,0,0.0079,0.0552,26757,0.1875,25695,7992,19872,6968,8758,11665,0.4358,0.6465,0.2075,0.1547,8951,18,"Public"
"Santa Clara University","Santa Clara","CA",2,37.348362,-121.93784,0.4384,0.0061,0,0,0.1153,6235,0.0209,77768,59241,59241,39049,22061,14126,0.7155,0.8845,0.2445,0.0114,3091,10,"Private Nonprofit"
"Scripps College","Claremont","CA",1,34.104147,-117.711294,0.3394,0.0356,0,0,0.166,1077,0.0056,83330,63434,63434,39867,30103,12586,0.7246,0.8712,0.2285,0.0028,21,11,"Private Nonprofit"
"Simpson University","Redding","CA",1,40.61334,-122.332981,0.9903,0,0,0,0.0208,751,0.1238,52366,38522,38522,16211,13185,7441,1,0.4167,0.5807,0.2861,152,15,"Private Nonprofit"
"Saint Mary's College of California","Moraga","CA",1,37.840731,-122.109031,0.8858,0.0135,0,0,0.1004,2024,0.041,73655,56134,56134,18946,13047,11128,0.6182,0.6899,0.661,0.0572,731,10,"Private Nonprofit"
"Sonoma State University","Rohnert Park","CA",1,38.340274,-122.677066,0.9473,0.0182,0,0,0.1275,5374,0.1243,24739,8190,20070,5947,10797,11609,0.4956,0.6052,0.2701,0.163,578,15,"Public"
"Vanguard University of Southern California","Costa Mesa","CA",1,33.662686,-117.900911,0.647,0.0172,0,0,0.0637,1975,0.083,50178,39950,39950,19024,8558,7625,0.9773,0.5586,0.8406,0.0931,232,16,"Private Nonprofit"
"Southern California Institute of Architecture","Los Angeles","CA",1,34.044215,-118.232799,0.8267,0,0,0,0,236,0.0042,67014,53564,53564,32759,16440,9281,0.6324,0.7,0.228,0.1841,218,9,"Private Nonprofit"
"University of Southern California","Los Angeles","CA",1,34.021281,-118.284169,0.1002,0.0065,0,0.0078,0.1029,20817,0.0207,84678,68237,68237,41896,33916,17488,0.5955,0.9199,0.2485,0.606,26124,9,"Private Nonprofit"
"Whittier College","Whittier","CA",1,33.978773,-118.032299,0.8538,0.0148,0,0.0385,0.1657,812,0.032,63925,49864,49864,22206,19372,9706,0.7619,0.6339,0.5847,0.0541,46,8,"Private Nonprofit"
"Woodbury University","Burbank","CA",1,34.208011,-118.341147,0.7287,0,0,0,0.0156,825,0.0739,58180,44886,44886,27052,19860,7835,0.3189,0.5478,0.6141,0.1794,73,9,"Private Nonprofit"
"University of Colorado Denver/Anschutz Medical Campus","Denver","CO",1,39.745149,-104.837722,0.7781,0.0074,0,0.0039,0.0996,10686,0.2238,23369,10017,28209,15942,40525,11669,0.6674,0.474,0.2515,0.1908,9382,16,"Public"
"University of Colorado Colorado Springs","Colorado Springs","CO",1,38.892735,-104.800296,0.9657,0.007,0,0.0345,0.0665,8870,0.1967,23713,9712,20492,11713,10974,9185,0.6058,0.4534,0.3514,0.2195,1815,15,"Public"
"University of Colorado Boulder","Boulder","CO",1,40.008781,-105.270823,0.8328,0.031,0,0.002,0.1004,31578,0.0579,33466,16430,41943,23356,18458,13016,0.745,0.7503,0.2436,0.0555,9327,19,"Public"
"Colorado College","Colorado Springs","CO",1,38.84886,-104.822697,0.2003,0.0514,0,0,0.2972,2139,0.0187,83228,67932,67932,41446,31657,12307,0.8076,0.86,0.2427,0.0019,28,9,"Private Nonprofit"
