"INSTNM","CITY","STABBR","NUMBRANCH","LATITUDE","LONGITUDE","ADM_RATE","PCIP40","PCIP41","PCIP44","PCIP45","UGDS","PPTUG_EF","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","C150_4","PCTFLOAN","UG25ABV","GRADS","STUFACR","CONTROL_PEPS"
"Edgewood College","Madison","WI",1,43.057059,-89.422884,0.9452,0.0098,0,0,0.0361,1104,0.0688,48450,34850,34850,18954,9908,6990,0.4147,0.6738,0.5738,0.0898,787,13,"Private Nonprofit"
"Lakeland University","Plymouth","WI",1,43.841573,-87.883414,0.9109,0.008,0,0,0.0214,1230,0.4065,45751,32286,32286,14677,8804,7642,0.1561,0.5575,0.5501,0.2243,468,13,"Private Nonprofit"
"Maranatha Baptist University","Watertown","WI",1,43.195013,-88.737016,0.7087,0,0,0,0,566,0.242,33496,20280,20280,11819,7539,3822,0.6186,0.6569,0.2758,0.108,218,10,"Private Nonprofit"
"Marian University","Fond Du Lac","WI",1,43.777411,-88.420638,0.6685,0,0,0.0732,0,1050,0.1343,40733,33000,33000,13983,6031,8098,0.9362,0.4119,0.7828,0.2337,245,12,"Private Nonprofit"
"Marquette University","Milwaukee","WI",1,43.03903,-87.927961,0.8744,0.0059,0,0.0075,0.0952,7238,0.0159,63233,48700,48700,22872,14409,10830,0.5724,0.8006,0.403,0.0137,3721,13,"Private Nonprofit"
"Milwaukee School of Engineering","Milwaukee","WI",1,43.045364,-87.907691,0.6039,0,0,0,0,2607,0.0242,60439,48421,48421,15627,13424,10016,0.5884,0.7154,0.6105,0.0524,181,12,"Private Nonprofit"
"Mount Mary University","Milwaukee","WI",1,43.072507,-88.030732,0.9335,0,0,0.11,0,703,0.0413,47328,34390,34390,14668,10794,6605,0.3568,0.5887,0.8156,0.1447,443,10,"Private Nonprofit"
"Saint Norbert College","De Pere","WI",1,44.44483,-88.067812,0.9215,0.0211,0,0.0141,0.0867,1749,0.004,56194,44432,44432,18721,12241,9064,0.8086,0.7357,0.4519,0.0057,76,12,"Private Nonprofit"
"Viterbo University","La Crosse","WI",1,43.803133,-91.244297,0.7327,0,0,0.0263,0,1392,0.1451,44123,32350,32350,15802,8298,6855,0.4,0.6516,0.5785,0.21,858,12,"Private Nonprofit"
"University of Wisconsin-Whitewater","Whitewater","WI",1,42.835563,-88.742368,0.8276,0.0081,0,0.0278,0.0709,9180,0.0964,18661,8250,17916,7570,7746,8817,0.8368,0.643,0.4712,0.1026,1707,20,"Public"
"University of Wisconsin-Eau Claire","Eau Claire","WI",1,44.798284,-91.501906,0.7608,0.0283,0,0.0419,0.057,8995,0.0641,21014,9277,18516,6122,8810,8974,0.778,0.6756,0.4321,0.0413,687,19,"Public"
"University of Wisconsin-Green Bay","Green Bay","WI",1,44.532298,-87.919973,0.8784,0.0076,0,0.0274,0.0217,6230,0.2242,18161,8342,16929,5329,6454,7851,0.6992,0.5309,0.3102,0.1725,473,23,"Public"
"University of Wisconsin-La Crosse","La Crosse","WI",1,43.81568,-91.23186,0.7325,0.014,0,0.0065,0.0721,9194,0.0415,18115,9651,18691,7458,7669,8149,0.8394,0.7119,0.4398,0.0189,921,19,"Public"
"Wisconsin Lutheran College","Milwaukee","WI",1,43.036943,-88.022718,0.7905,0.0161,0,0.0215,0.0591,1009,0.0248,47026,35080,35080,13675,10318,7193,0.961,0.6266,0.7069,0.0255,73,11,"Private Nonprofit"
"University of Wisconsin-Oshkosh","Oshkosh","WI",1,44.026206,-88.549369,0.8668,0.0146,0,0.0458,0.0511,7613,0.1399,19063,8212,16125,6162,10603,8686,0.6814,0.5789,0.2719,0.0773,1087,21,"Public"
"University of Wisconsin-Parkside","Kenosha","WI",1,42.647718,-87.855231,0.7262,0.0169,0,0,0.0665,2951,0.1725,16768,7855,16497,6511,8136,8236,0.6955,0.3982,0.3752,0.1725,745,18,"Public"
"Herzing University-Madison","Madison","WI",11,43.14415,-89.291561,0.9415,0,0,0,0,2105,0.6024,26687,13420,13420,14299,5495,6776,0.1381,0.2759,0.706,0.7973,2057,19,"Private Nonprofit"
"University of Wisconsin-Stout","Menomonie","WI",1,44.873187,-91.926653,0.8474,0,0.014,0.0112,0.0216,5900,0.161,21618,10142,18706,7118,8457,8131,0.6983,0.5253,0.4891,0.1301,858,18,"Public"
"University of Wisconsin-Superior","Superior","WI",1,46.717629,-92.091007,0.9364,0.0024,0,0.0721,0.012,1899,0.2006,18415,8487,16400,7257,9765,7090,0.8414,0.4412,0.4596,0.2704,640,17,"Public"
"University of Wisconsin-Madison","Madison","WI",1,43.075409,-89.404098,0.4335,0.0131,0,0.0183,0.0885,35665,0.0467,27770,11205,40603,18815,19583,15075,0.838,0.8933,0.217,0.0342,12808,18,"Public"
"University of Wisconsin-Milwaukee","Milwaukee","WI",1,43.076848,-87.880488,0.8844,0.0087,0,0.022,0.0397,16762,0.125,22174,10020,22020,9076,10216,9711,0.633,0.5119,0.4378,0.1564,4434,17,"Public"
"University of Wisconsin-Platteville","Platteville","WI",1,42.733451,-90.48622,0.8726,0.0069,0,0,0.0123,5928,0.0867,20049,8315,17274,6181,7176,7789,0.8256,0.6154,0.4385,0.0915,426,20,"Public"
"University of Wisconsin-River Falls","River Falls","WI",1,44.8534,-92.622641,0.8162,0.0188,0,0.0122,0.0583,4152,0.0785,19576,8606,16887,6025,8801,8576,0.6078,0.6088,0.4491,0.0541,389,17,"Public"
"University of Wisconsin-Stevens Point","Stevens Point","WI",1,44.529582,-89.570934,0.9014,0.0082,0,0.0157,0.0375,7104,0.097,18804,8834,17854,5381,7440,7815,0.7476,0.5596,0.4983,0.0794,690,21,"Public"
"University of Wyoming","Laramie","WY",1,41.311773,-105.57931,0.9741,0.0228,0,0.0141,0.0483,8047,0.1488,22371,6938,22718,8342,16781,10701,0.9906,0.5985,0.2828,0.1571,2663,13,"Public"
"Universidad Adventista de las Antillas","Mayaguez","PR",1,18.205685,-67.111207,1,0,0,0,0,769,0.1899,14855,8050,8050,7357,4445,3119,0.4487,0.4603,0.245,0.2638,105,18,"Private Nonprofit"
"Universidad Central de Bayamon","Bayamón","PR",1,18.398864,-66.180773,0.8636,0,0,0.1237,0,594,0.2374,11164,5986,5986,4962,4609,2838,1,0.3789,0.1538,0.2431,166,14,"Private Nonprofit"
"Albizu University-San Juan","San Juan","PR",2,18.466573,-66.113908,1,0,0,0,0,758,0.2018,19676,7797,7797,7028,2781,4198,0.2363,0.69,0.266,0.1874,1771,20,"Private Nonprofit"
"Pontifical Catholic University of Puerto Rico-Arecibo","Arecibo","PR",3,18.446006,-66.679114,0.8538,0,0,0,0.0794,273,0.1282,16058,6238,6238,19603,15224,4240,0.4915,0.3919,0.3344,0.3364,326,12,"Private Nonprofit"
"Pontifical Catholic University of Puerto Rico-Ponce","Ponce","PR",3,18.00165,-66.617138,0.9033,0.0109,0,0.0476,0.0571,3827,0.1228,17106,6340,6340,5960,4629,4506,0.6659,0.4794,0.3163,0.0966,1599,22,"Private Nonprofit"
"Puerto Rico Conservatory of Music","San Juan","PR",1,18.454016,-66.078811,0.8101,0,0,0,0,295,0.3729,7920,3370,3370,5083,20377,3701,0.4568,0.5714,0.1306,0.1786,31,4,"Public"
"EDP University of Puerto Rico Inc-San Sebastian","San Sebastian","PR",6,18.338036,-66.992287,0.9615,0,0,0,0,968,0.5031,13701,7050,14125,9629,3706,2727,0.95,0.3727,0.4383,0.6361,37,16,"Private Nonprofit"
"Inter American University of Puerto Rico-San German","San German","PR",1,18.08353,-67.05082,0.5067,0.0222,0,0,0.0089,2641,0.1359,15442,5580,5580,5254,3942,5800,1,0.4272,0.119,0.1012,475,25,"Private Nonprofit"
"Inter American University of Puerto Rico-Aguadilla","Aguadilla","PR",1,18.467886,-67.121671,0.4674,0,0,0.027,0,3002,0.1499,14449,5542,5542,5256,3325,5030,1,0.3871,0.1166,0.2071,205,27,"Private Nonprofit"
